Order NO,Order Date,Month/Yr,Day of Week,Pie Flavor,Quantity,Cost,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?
10708,19-09-2019,01-09-2019,Thursday,Apple,4,10,Slice,Pre-Order,Yes
10709,19-09-2019,01-09-2019,Thursday,Apple,3,60,Whole,In-Store,No
10710,19-09-2019,01-09-2019,Thursday,Blueberry,4,10,Slice,In-Store,Yes
10711,19-09-2019,01-09-2019,Thursday,Other,3,7.5,Slice,Pre-Order,Yes
10712,19-09-2019,01-09-2019,Thursday,Strawberry Rhubarb,4,10,Slice,In-Store,No
10713,19-09-2019,01-09-2019,Thursday,Strawberry Rhubarb,1,20,Whole,Pre-Order,Yes
10714,19-09-2019,01-09-2019,Thursday,Strawberry Rhubarb,4,80,Whole,Pre-Order,Yes
10715,19-09-2019,01-09-2019,Thursday,Other,1,20,Whole,Pre-Order,No
10716,19-09-2019,01-09-2019,Thursday,Strawberry Rhubarb,1,20,Whole,Pre-Order,No
10717,22-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,2,40,Whole,In-Store,Yes
10718,22-02-2020,01-02-2020,Saturday,Cherry,1,20,Whole,Pre-Order,No
10719,22-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,2,40,Whole,Pre-Order,Yes
10720,22-02-2020,01-02-2020,Saturday,Cherry,2,5,Slice,Pre-Order,No
10721,22-02-2020,01-02-2020,Saturday,Cherry,1,20,Whole,Pre-Order,Yes
10722,22-02-2020,01-02-2020,Saturday,Apple,3,60,Whole,Pre-Order,Yes
10723,22-02-2020,01-02-2020,Saturday,Cherry,4,80,Whole,Pre-Order,No
10724,22-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,5,100,Whole,Pre-Order,Yes
10725,22-02-2020,01-02-2020,Saturday,Apple,3,60,Whole,In-Store,No
10726,22-02-2020,01-02-2020,Saturday,Apple,4,10,Slice,Pre-Order,Yes
10727,22-02-2020,01-02-2020,Saturday,Apple,2,40,Whole,In-Store,Yes
10728,26-03-2020,01-03-2020,Thursday,Other,3,60,Whole,Pre-Order,Yes
10729,26-03-2020,01-03-2020,Thursday,Other,2,40,Whole,Pre-Order,Yes
10730,26-03-2020,01-03-2020,Thursday,Other,5,100,Whole,Pre-Order,Yes
10731,26-03-2020,01-03-2020,Thursday,Cherry,4,80,Whole,Pre-Order,Yes
10732,26-03-2020,01-03-2020,Thursday,Cherry,5,100,Whole,Pre-Order,Yes
10733,26-03-2020,01-03-2020,Thursday,Cherry,1,2.5,Slice,In-Store,No
10734,26-03-2020,01-03-2020,Thursday,Cherry,4,10,Slice,In-Store,Yes
10735,26-03-2020,01-03-2020,Thursday,Cherry,3,7.5,Slice,In-Store,No
10736,26-03-2020,01-03-2020,Thursday,Cherry,4,10,Slice,In-Store,No
10737,07-01-2021,01-01-2021,Thursday,Strawberry Rhubarb,5,100,Whole,Pre-Order,No
10738,05-08-2021,01-08-2021,Thursday,Pumpkin,5,100,Whole,Pre-Order,Yes
10739,17-04-2020,01-04-2020,Friday,Fudge,4,10,Slice,Pre-Order,No
10740,17-04-2020,01-04-2020,Friday,Cherry,4,10,Slice,Pre-Order,Yes
10741,17-04-2020,01-04-2020,Friday,Fudge,4,80,Whole,Pre-Order,No
10742,17-04-2020,01-04-2020,Friday,Cherry,4,10,Slice,Pre-Order,Yes
10743,17-04-2020,01-04-2020,Friday,Cherry,3,60,Whole,In-Store,No
10744,17-04-2020,01-04-2020,Friday,Apple,1,20,Whole,In-Store,No
10745,17-04-2020,01-04-2020,Friday,Cherry,3,7.5,Slice,Pre-Order,Yes
10746,17-11-2020,01-11-2020,Tuesday,Pumpkin,1,2.5,Slice,In-Store,No
10747,17-04-2020,01-04-2020,Friday,Apple,3,60,Whole,Pre-Order,Yes
10748,17-04-2020,01-04-2020,Friday,Apple,3,7.5,Slice,In-Store,No
10749,17-04-2020,01-04-2020,Friday,Apple,3,7.5,Slice,Pre-Order,Yes
10750,17-04-2020,01-04-2020,Friday,Apple,4,10,Slice,Pre-Order,Yes
10751,19-03-2021,01-03-2021,Friday,Fudge,3,60,Whole,Pre-Order,Yes
10752,19-03-2021,01-03-2021,Friday,Fudge,5,100,Whole,In-Store,Yes
10753,19-03-2021,01-03-2021,Friday,Apple,3,7.5,Slice,Pre-Order,No
10754,19-03-2021,01-03-2021,Friday,Fudge,4,80,Whole,In-Store,No
10755,19-03-2021,01-03-2021,Friday,Blueberry,4,80,Whole,In-Store,No
10756,19-03-2021,01-03-2021,Friday,Apple,5,12.5,Slice,In-Store,No
10757,19-03-2021,01-03-2021,Friday,Blueberry,5,12.5,Slice,In-Store,Yes
10758,19-03-2021,01-03-2021,Friday,Apple,5,12.5,Slice,Pre-Order,Yes
10759,19-03-2021,01-03-2021,Friday,Strawberry Rhubarb,2,40,Whole,In-Store,Yes
10760,16-09-2020,01-09-2020,Wednesday,Apple,1,20,Whole,In-Store,Yes
10761,16-09-2020,01-09-2020,Wednesday,Apple,2,40,Whole,In-Store,Yes
10762,16-09-2020,01-09-2020,Wednesday,Apple,1,20,Whole,In-Store,No
10763,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,No
10764,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,2,40,Whole,In-Store,Yes
10765,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,5,12.5,Slice,In-Store,No
10766,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
10767,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,5,12.5,Slice,In-Store,Yes
10768,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
10769,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,No
10770,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,4,10,Slice,In-Store,Yes
10771,16-09-2020,01-09-2020,Wednesday,Strawberry Rhubarb,2,40,Whole,Pre-Order,No
10772,07-11-2020,01-11-2020,Saturday,Apple,5,100,Whole,In-Store,Yes
10773,07-11-2020,01-11-2020,Saturday,Apple,4,80,Whole,Pre-Order,Yes
10774,17-09-2021,01-09-2021,Friday,Strawberry Rhubarb,1,20,Whole,In-Store,Yes
10775,17-09-2021,01-09-2021,Friday,Strawberry Rhubarb,3,60,Whole,Pre-Order,No
10776,17-09-2021,01-09-2021,Friday,Strawberry Rhubarb,4,80,Whole,In-Store,No
10777,17-09-2021,01-09-2021,Friday,Strawberry Rhubarb,1,2.5,Slice,In-Store,No
10778,17-09-2021,01-09-2021,Friday,Strawberry Rhubarb,1,20,Whole,Pre-Order,No
10779,01-10-2019,01-10-2019,Tuesday,Fudge,4,80,Whole,Pre-Order,No
10780,01-10-2019,01-10-2019,Tuesday,Fudge,4,80,Whole,In-Store,Yes
10781,01-10-2019,01-10-2019,Tuesday,Fudge,4,10,Slice,In-Store,No
10782,01-10-2019,01-10-2019,Tuesday,Fudge,2,5,Slice,Pre-Order,Yes
10783,01-10-2019,01-10-2019,Tuesday,Apple,5,12.5,Slice,Pre-Order,No
10784,01-10-2019,01-10-2019,Tuesday,Fudge,4,80,Whole,Pre-Order,No
10785,01-10-2019,01-10-2019,Tuesday,Blueberry,4,80,Whole,Pre-Order,Yes
10786,01-10-2019,01-10-2019,Tuesday,Apple,2,5,Slice,In-Store,No
10787,01-10-2019,01-10-2019,Tuesday,Blueberry,2,5,Slice,In-Store,Yes
10788,01-10-2019,01-10-2019,Tuesday,Apple,1,20,Whole,Pre-Order,Yes
10789,01-10-2019,01-10-2019,Tuesday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10790,01-10-2019,01-10-2019,Tuesday,Blueberry,4,10,Slice,Pre-Order,No
10791,01-10-2019,01-10-2019,Tuesday,Apple,2,40,Whole,Pre-Order,Yes
10792,01-10-2019,01-10-2019,Tuesday,Blueberry,3,7.5,Slice,Pre-Order,No
10793,19-12-2020,01-12-2020,Saturday,Apple,1,2.5,Slice,In-Store,Yes
10794,19-12-2020,01-12-2020,Saturday,Apple,5,12.5,Slice,Pre-Order,No
10795,29-11-2021,01-11-2021,Monday,Pumpkin,2,40,Whole,Pre-Order,Yes
10796,29-11-2021,01-11-2021,Monday,Pumpkin,4,80,Whole,Pre-Order,No
10797,29-04-2021,01-04-2021,Thursday,Pumpkin,2,5,Slice,Pre-Order,No
10798,29-04-2021,01-04-2021,Thursday,Pumpkin,5,12.5,Slice,In-Store,No
10799,29-04-2021,01-04-2021,Thursday,Fudge,3,60,Whole,In-Store,Yes
10800,29-04-2021,01-04-2021,Thursday,Pumpkin,5,100,Whole,In-Store,No
10801,29-11-2021,01-11-2021,Monday,Apple,5,12.5,Slice,Pre-Order,No
10802,29-04-2021,01-04-2021,Thursday,Pumpkin,2,5,Slice,Pre-Order,No
10803,29-04-2021,01-04-2021,Thursday,Pumpkin,4,80,Whole,Pre-Order,No
10804,29-11-2021,01-11-2021,Monday,Pumpkin,3,60,Whole,In-Store,Yes
10805,20-10-2021,01-10-2021,Wednesday,Apple,1,2.5,Slice,In-Store,Yes
10806,20-10-2021,01-10-2021,Wednesday,Apple,5,100,Whole,In-Store,No
10807,20-10-2021,01-10-2021,Wednesday,Apple,1,2.5,Slice,In-Store,No
10808,20-10-2021,01-10-2021,Wednesday,Apple,4,80,Whole,Pre-Order,Yes
10809,20-10-2021,01-10-2021,Wednesday,Pumpkin,5,12.5,Slice,In-Store,Yes
10810,20-10-2021,01-10-2021,Wednesday,Pumpkin,5,100,Whole,Pre-Order,Yes
10811,20-10-2021,01-10-2021,Wednesday,Apple,2,40,Whole,Pre-Order,No
10812,20-10-2021,01-10-2021,Wednesday,Apple,3,60,Whole,Pre-Order,Yes
10813,20-10-2021,01-10-2021,Wednesday,Apple,5,100,Whole,In-Store,Yes
10814,20-10-2021,01-10-2021,Wednesday,Cherry,2,40,Whole,In-Store,No
10815,20-10-2021,01-10-2021,Wednesday,Cherry,4,10,Slice,Pre-Order,No
10816,20-10-2021,01-10-2021,Wednesday,Cherry,2,5,Slice,In-Store,No
10817,20-10-2021,01-10-2021,Wednesday,Apple,4,80,Whole,In-Store,Yes
10818,20-10-2021,01-10-2021,Wednesday,Pumpkin,1,2.5,Slice,In-Store,Yes
10819,23-07-2019,01-07-2019,Tuesday,Fudge,2,40,Whole,Pre-Order,Yes
10820,23-07-2019,01-07-2019,Tuesday,Fudge,1,2.5,Slice,In-Store,No
10821,23-07-2019,01-07-2019,Tuesday,Fudge,4,80,Whole,Pre-Order,Yes
10822,23-07-2019,01-07-2019,Tuesday,Fudge,2,40,Whole,Pre-Order,Yes
10823,23-07-2019,01-07-2019,Tuesday,Apple,3,7.5,Slice,In-Store,No
10824,23-07-2019,01-07-2019,Tuesday,Apple,2,40,Whole,Pre-Order,Yes
10825,23-07-2019,01-07-2019,Tuesday,Fudge,4,10,Slice,Pre-Order,Yes
10826,23-07-2019,01-07-2019,Tuesday,Fudge,4,80,Whole,In-Store,No
10827,23-07-2019,01-07-2019,Tuesday,Fudge,5,100,Whole,Pre-Order,Yes
10828,23-07-2019,01-07-2019,Tuesday,Fudge,3,7.5,Slice,Pre-Order,No
10829,23-07-2019,01-07-2019,Tuesday,Fudge,2,40,Whole,In-Store,Yes
10830,23-07-2019,01-07-2019,Tuesday,Fudge,1,20,Whole,Pre-Order,Yes
10831,23-07-2019,01-07-2019,Tuesday,Fudge,4,10,Slice,In-Store,No
10832,23-07-2019,01-07-2019,Tuesday,Apple,5,12.5,Slice,Pre-Order,Yes
10833,23-07-2019,01-07-2019,Tuesday,Fudge,1,20,Whole,Pre-Order,Yes
10834,23-07-2019,01-07-2019,Tuesday,Blueberry,4,80,Whole,Pre-Order,No
10835,23-07-2019,01-07-2019,Tuesday,Apple,5,100,Whole,Pre-Order,No
10836,23-07-2019,01-07-2019,Tuesday,Blueberry,2,40,Whole,In-Store,No
10837,09-11-2020,01-11-2020,Monday,Apple,5,100,Whole,Pre-Order,Yes
10838,09-11-2020,01-11-2020,Monday,Apple,3,7.5,Slice,Pre-Order,Yes
10839,17-04-2021,01-04-2021,Saturday,Fudge,3,60,Whole,In-Store,Yes
10840,17-04-2021,01-04-2021,Saturday,Apple,4,80,Whole,Pre-Order,Yes
10841,17-04-2021,01-04-2021,Saturday,Fudge,5,100,Whole,In-Store,Yes
10842,17-04-2021,01-04-2021,Saturday,Fudge,1,2.5,Slice,In-Store,No
10843,17-04-2021,01-04-2021,Saturday,Apple,3,60,Whole,In-Store,Yes
10844,17-04-2021,01-04-2021,Saturday,Apple,5,100,Whole,Pre-Order,Yes
10845,17-04-2021,01-04-2021,Saturday,Apple,5,12.5,Slice,Pre-Order,Yes
10846,17-04-2021,01-04-2021,Saturday,Fudge,1,20,Whole,In-Store,No
10847,17-04-2021,01-04-2021,Saturday,Blueberry,3,7.5,Slice,Pre-Order,Yes
10848,17-04-2021,01-04-2021,Saturday,Fudge,3,7.5,Slice,Pre-Order,No
10849,17-04-2021,01-04-2021,Saturday,Fudge,3,60,Whole,In-Store,No
10850,17-04-2021,01-04-2021,Saturday,Fudge,2,40,Whole,Pre-Order,No
10851,17-04-2021,01-04-2021,Saturday,Fudge,1,20,Whole,Pre-Order,No
10852,17-04-2021,01-04-2021,Saturday,Fudge,1,20,Whole,Pre-Order,Yes
10853,23-08-2020,01-08-2020,Sunday,Blueberry,4,10,Slice,In-Store,Yes
10854,23-08-2020,01-08-2020,Sunday,Blueberry,3,7.5,Slice,Pre-Order,Yes
10855,23-08-2020,01-08-2020,Sunday,Blueberry,3,60,Whole,In-Store,Yes
10856,23-08-2020,01-08-2020,Sunday,Blueberry,5,100,Whole,Pre-Order,Yes
10857,23-08-2020,01-08-2020,Sunday,Apple,4,80,Whole,Pre-Order,No
10858,23-08-2020,01-08-2020,Sunday,Apple,3,7.5,Slice,Pre-Order,Yes
10859,23-08-2020,01-08-2020,Sunday,Blueberry,5,12.5,Slice,Pre-Order,No
10860,23-08-2020,01-08-2020,Sunday,Other,5,100,Whole,Pre-Order,No
10861,06-04-2021,01-04-2021,Tuesday,Fudge,4,10,Slice,Pre-Order,Yes
10862,06-04-2021,01-04-2021,Tuesday,Apple,2,40,Whole,In-Store,No
10863,06-04-2021,01-04-2021,Tuesday,Apple,1,20,Whole,In-Store,Yes
10864,06-04-2021,01-04-2021,Tuesday,Fudge,1,20,Whole,Pre-Order,Yes
10865,06-04-2021,01-04-2021,Tuesday,Fudge,4,10,Slice,Pre-Order,Yes
10866,06-04-2021,01-04-2021,Tuesday,Fudge,2,40,Whole,In-Store,Yes
10867,06-04-2021,01-04-2021,Tuesday,Fudge,2,5,Slice,Pre-Order,Yes
10868,06-04-2021,01-04-2021,Tuesday,Fudge,3,60,Whole,In-Store,Yes
10869,06-04-2021,01-04-2021,Tuesday,Fudge,2,40,Whole,Pre-Order,Yes
10870,06-04-2021,01-04-2021,Tuesday,Fudge,4,10,Slice,In-Store,Yes
10871,06-04-2021,01-04-2021,Tuesday,Apple,4,80,Whole,In-Store,Yes
10872,06-04-2021,01-04-2021,Tuesday,Fudge,2,40,Whole,Pre-Order,Yes
10873,06-04-2021,01-04-2021,Tuesday,Blueberry,3,7.5,Slice,Pre-Order,Yes
10874,06-04-2021,01-04-2021,Tuesday,Apple,3,7.5,Slice,Pre-Order,Yes
10875,06-04-2021,01-04-2021,Tuesday,Blueberry,2,5,Slice,Pre-Order,Yes
10876,06-04-2021,01-04-2021,Tuesday,Apple,3,60,Whole,In-Store,Yes
10877,06-11-2021,01-11-2021,Saturday,Pumpkin,2,40,Whole,In-Store,Yes
10878,06-04-2021,01-04-2021,Tuesday,Blueberry,1,2.5,Slice,In-Store,Yes
10879,24-11-2020,01-11-2020,Tuesday,Fudge,1,20,Whole,Pre-Order,Yes
10880,24-11-2020,01-11-2020,Tuesday,Fudge,5,100,Whole,Pre-Order,Yes
10881,24-11-2020,01-11-2020,Tuesday,Pumpkin,5,12.5,Slice,In-Store,Yes
10882,24-11-2020,01-11-2020,Tuesday,Apple,2,5,Slice,In-Store,Yes
10883,24-11-2020,01-11-2020,Tuesday,Pumpkin,3,60,Whole,In-Store,Yes
10884,24-11-2020,01-11-2020,Tuesday,Apple,3,60,Whole,In-Store,Yes
10885,24-11-2020,01-11-2020,Tuesday,Fudge,5,12.5,Slice,In-Store,Yes
10886,24-11-2020,01-11-2020,Tuesday,Apple,1,2.5,Slice,Pre-Order,Yes
10887,24-04-2020,01-04-2020,Friday,Pumpkin,3,60,Whole,In-Store,Yes
10888,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,Yes
10889,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10890,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,Yes
10891,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,3,7.5,Slice,Pre-Order,Yes
10892,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10893,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10894,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,5,12.5,Slice,In-Store,Yes
10895,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,5,12.5,Slice,In-Store,Yes
10896,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,4,10,Slice,In-Store,Yes
10897,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,4,80,Whole,In-Store,Yes
10898,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,1,20,Whole,Pre-Order,Yes
10899,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,2,40,Whole,Pre-Order,Yes
10900,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,4,10,Slice,Pre-Order,Yes
10901,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
10902,21-03-2021,01-03-2021,Sunday,Strawberry Rhubarb,4,80,Whole,Pre-Order,Yes
10903,21-03-2021,01-03-2021,Sunday,Pumpkin,3,7.5,Slice,Pre-Order,Yes
10904,21-03-2021,01-03-2021,Sunday,Pumpkin,4,80,Whole,In-Store,Yes
10905,24-01-2021,01-01-2021,Sunday,Fudge,4,10,Slice,Pre-Order,Yes
10906,24-01-2021,01-01-2021,Sunday,Fudge,3,7.5,Slice,In-Store,Yes
10907,24-01-2021,01-01-2021,Sunday,Fudge,2,40,Whole,Pre-Order,Yes
10908,24-01-2021,01-01-2021,Sunday,Apple,5,100,Whole,Pre-Order,Yes
10909,24-01-2021,01-01-2021,Sunday,Apple,3,60,Whole,In-Store,Yes
10910,24-01-2021,01-01-2021,Sunday,Fudge,5,12.5,Slice,In-Store,Yes
10911,24-01-2021,01-01-2021,Sunday,Fudge,3,60,Whole,In-Store,Yes
10912,24-01-2021,01-01-2021,Sunday,Fudge,3,7.5,Slice,Pre-Order,Yes
10913,24-01-2021,01-01-2021,Sunday,Fudge,3,7.5,Slice,Pre-Order,Yes
10914,24-01-2021,01-01-2021,Sunday,Fudge,5,12.5,Slice,Pre-Order,Yes
10915,24-01-2021,01-01-2021,Sunday,Fudge,1,2.5,Slice,Pre-Order,Yes
10916,24-01-2021,01-01-2021,Sunday,Fudge,4,80,Whole,Pre-Order,Yes
10917,24-01-2021,01-01-2021,Sunday,Apple,3,60,Whole,In-Store,Yes
10918,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
10919,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10920,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,5,100,Whole,In-Store,Yes
10921,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
10922,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
10923,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,Yes
10924,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
10925,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,2,40,Whole,In-Store,Yes
10926,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,4,80,Whole,Pre-Order,Yes
10927,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
10928,09-03-2020,01-03-2020,Monday,Strawberry Rhubarb,1,20,Whole,In-Store,Yes
10929,26-12-2020,01-12-2020,Saturday,Pumpkin,1,2.5,Slice,Pre-Order,Yes
10930,26-12-2020,01-12-2020,Saturday,Pumpkin,1,2.5,Slice,In-Store,Yes
10931,26-12-2020,01-12-2020,Saturday,Pumpkin,1,2.5,Slice,In-Store,Yes
10932,26-12-2020,01-12-2020,Saturday,Pumpkin,4,10,Slice,Pre-Order,Yes
10933,26-12-2020,01-12-2020,Saturday,Pumpkin,1,20,Whole,In-Store,Yes
10934,26-12-2020,01-12-2020,Saturday,Pumpkin,2,40,Whole,In-Store,Yes
10935,26-12-2020,01-12-2020,Saturday,Pumpkin,5,12.5,Slice,Pre-Order,Yes
10936,26-12-2020,01-12-2020,Saturday,Fudge,4,10,Slice,Pre-Order,Yes
10937,26-12-2020,01-12-2020,Saturday,Fudge,2,40,Whole,Pre-Order,Yes
10938,26-12-2020,01-12-2020,Saturday,Fudge,1,20,Whole,In-Store,Yes
10939,26-12-2020,01-12-2020,Saturday,Fudge,5,12.5,Slice,In-Store,Yes
10940,26-12-2020,01-12-2020,Saturday,Apple,3,60,Whole,Pre-Order,Yes
10941,26-12-2020,01-12-2020,Saturday,Apple,5,12.5,Slice,In-Store,Yes
10942,26-12-2020,01-12-2020,Saturday,Fudge,2,5,Slice,Pre-Order,Yes
10943,26-12-2020,01-12-2020,Saturday,Fudge,2,40,Whole,Pre-Order,Yes
10944,26-12-2020,01-12-2020,Saturday,Fudge,5,12.5,Slice,Pre-Order,Yes
10945,26-12-2020,01-12-2020,Saturday,Fudge,2,5,Slice,Pre-Order,Yes
10946,26-12-2020,01-12-2020,Saturday,Fudge,3,7.5,Slice,In-Store,Yes
10947,03-04-2021,01-04-2021,Saturday,Apple,1,2.5,Slice,Pre-Order,Yes
10948,03-04-2021,01-04-2021,Saturday,Blueberry,3,7.5,Slice,In-Store,Yes
10949,03-04-2021,01-04-2021,Saturday,Blueberry,5,100,Whole,In-Store,Yes
10950,03-04-2021,01-04-2021,Saturday,Blueberry,1,2.5,Slice,In-Store,Yes
10951,03-04-2021,01-04-2021,Saturday,Blueberry,5,12.5,Slice,Pre-Order,Yes
10952,03-04-2021,01-04-2021,Saturday,Blueberry,2,5,Slice,Pre-Order,Yes
10953,03-04-2021,01-04-2021,Saturday,Apple,4,10,Slice,Pre-Order,Yes
10954,09-07-2021,01-07-2021,Friday,Fudge,4,80,Whole,In-Store,Yes
10955,09-07-2021,01-07-2021,Friday,Fudge,2,5,Slice,In-Store,Yes
10956,09-07-2021,01-07-2021,Friday,Pumpkin,4,10,Slice,Pre-Order,Yes
10957,09-07-2021,01-07-2021,Friday,Apple,2,5,Slice,Pre-Order,Yes
10958,09-07-2021,01-07-2021,Friday,Apple,2,5,Slice,In-Store,Yes
10959,09-07-2021,01-07-2021,Friday,Fudge,4,80,Whole,Pre-Order,Yes
10960,09-07-2021,01-07-2021,Friday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
10961,09-07-2021,01-07-2021,Friday,Pumpkin,1,20,Whole,Pre-Order,Yes
10962,09-07-2021,01-07-2021,Friday,Pumpkin,4,80,Whole,In-Store,Yes
10963,09-07-2021,01-07-2021,Friday,Fudge,1,2.5,Slice,Pre-Order,Yes
10964,09-07-2021,01-07-2021,Friday,Fudge,5,12.5,Slice,Pre-Order,Yes
10965,09-07-2021,01-07-2021,Friday,Pumpkin,3,60,Whole,In-Store,Yes
10966,09-07-2021,01-07-2021,Friday,Pumpkin,4,80,Whole,In-Store,Yes
10967,09-07-2021,01-07-2021,Friday,Pumpkin,1,2.5,Slice,Pre-Order,Yes
10968,09-07-2021,01-07-2021,Friday,Pumpkin,4,10,Slice,Pre-Order,Yes
10969,03-11-2021,01-11-2021,Wednesday,Apple,4,80,Whole,In-Store,Yes
10970,03-11-2021,01-11-2021,Wednesday,Cherry,4,10,Slice,Pre-Order,Yes
10971,03-11-2021,01-11-2021,Wednesday,Pumpkin,5,12.5,Slice,Pre-Order,Yes
10972,03-11-2021,01-11-2021,Wednesday,Cherry,2,5,Slice,In-Store,Yes
10973,03-11-2021,01-11-2021,Wednesday,Apple,4,80,Whole,Pre-Order,Yes
10974,03-11-2021,01-11-2021,Wednesday,Cherry,1,2.5,Slice,In-Store,Yes
10975,03-11-2021,01-11-2021,Wednesday,Cherry,1,20,Whole,In-Store,Yes
10976,03-11-2021,01-11-2021,Wednesday,Pumpkin,4,10,Slice,Pre-Order,Yes
10977,03-11-2021,01-11-2021,Wednesday,Cherry,4,80,Whole,Pre-Order,Yes
10978,03-11-2021,01-11-2021,Wednesday,Cherry,1,20,Whole,In-Store,Yes
10979,03-11-2021,01-11-2021,Wednesday,Cherry,5,12.5,Slice,Pre-Order,Yes
10980,03-11-2021,01-11-2021,Wednesday,Pumpkin,5,100,Whole,Pre-Order,Yes
10981,03-11-2021,01-11-2021,Wednesday,Cherry,5,12.5,Slice,Pre-Order,Yes
10982,09-11-2020,01-11-2020,Monday,Pumpkin,1,20,Whole,Pre-Order,Yes
10983,09-11-2020,01-11-2020,Monday,Pumpkin,5,100,Whole,In-Store,Yes
10984,09-11-2020,01-11-2020,Monday,Pumpkin,1,20,Whole,Pre-Order,Yes
10985,09-11-2020,01-11-2020,Monday,Pumpkin,4,80,Whole,In-Store,Yes
10986,20-11-2020,01-11-2020,Friday,Strawberry Rhubarb,5,12.5,Slice,In-Store,Yes
10987,20-11-2020,01-11-2020,Friday,Blueberry,1,2.5,Slice,In-Store,Yes
10988,20-11-2020,01-11-2020,Friday,Apple,1,2.5,Slice,In-Store,Yes
10989,20-11-2020,01-11-2020,Friday,Apple,2,5,Slice,In-Store,Yes
10990,20-11-2020,01-11-2020,Friday,Apple,1,20,Whole,In-Store,Yes
10991,20-11-2020,01-11-2020,Friday,Pumpkin,1,2.5,Slice,In-Store,Yes
10992,20-11-2020,01-11-2020,Friday,Pumpkin,5,12.5,Slice,In-Store,Yes
10993,20-11-2020,01-11-2020,Friday,Blueberry,4,10,Slice,In-Store,Yes
10994,20-11-2020,01-11-2020,Friday,Apple,2,40,Whole,Pre-Order,Yes
10995,04-10-2021,01-10-2021,Monday,Cherry,3,60,Whole,In-Store,Yes
10996,04-10-2021,01-10-2021,Monday,Apple,2,5,Slice,Pre-Order,Yes
10997,04-10-2021,01-10-2021,Monday,Cherry,4,80,Whole,Pre-Order,Yes
10998,04-10-2021,01-10-2021,Monday,Apple,3,60,Whole,Pre-Order,Yes
10999,04-10-2021,01-10-2021,Monday,Cherry,3,60,Whole,In-Store,Yes
11000,04-10-2021,01-10-2021,Monday,Cherry,2,5,Slice,Pre-Order,No
11001,04-10-2021,01-10-2021,Monday,Apple,2,5,Slice,Pre-Order,No
11002,04-10-2021,01-10-2021,Monday,Cherry,1,20,Whole,Pre-Order,Yes
11003,04-10-2021,01-10-2021,Monday,Pumpkin,4,10,Slice,Pre-Order,No
11004,06-11-2019,01-11-2019,Wednesday,Pumpkin,4,80,Whole,Pre-Order,Yes
11005,06-11-2019,01-11-2019,Wednesday,Pumpkin,2,40,Whole,In-Store,No
11006,06-11-2019,01-11-2019,Wednesday,Pumpkin,5,12.5,Slice,Pre-Order,No
